name,rank,net_worth,age,gender,country,state,city,category,self_made,title,source,position_change,cpi_country,cpi_change_country,gdp_country,gdp_change_country,gross_primary_enrlmt_country,gross_tertiary_enrlmt_country,life_expectancy_country,population_country,unemployment_rate_country,latitude_country,longitude_country
Mark Meijer & family,591,4600,65,M,United States,Michigan,Grand Rapids,Fashion & Retail,FALSE,NA,Supermarkets,Split Family Fortune,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Issad Rebrab & family,591,4600,79,M,Algeria,NA,Algiers,Food & Beverage,TRUE,NA,Food,D,181.619932,15.401037500000001,225638000000,39407000000,108.3439331,108.3439331,77.129,45477389,12.346,28.033886,1.659626
Fred Smith,591,4600,78,M,United States,Tennessee,Memphis,Logistics,TRUE,Chairman and CEO,FedEx,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Barry Sternlicht,591,4600,62,M,United States,Florida,Miami,Finance & Investments,TRUE,NA,Private equity,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Maximilian Viessmann,591,4600,34,M,Germany,NA,Battenberg,Manufacturing,FALSE,NA,"Heating, cooling equipment",D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Russ Weiner,591,4600,52,M,United States,Florida,Delray Beach,Food & Beverage,TRUE,NA,Energy drinks,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Xue Min,591,4600,66,M,China,NA,Wuhan,Healthcare,TRUE,NA,Healthcare,N,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Juan Domingo Beckmann Legorreta & family,611,4500,55,M,Mexico,NA,NA,Food & Beverage,FALSE,NA,Tequila,U,166.8903693,12.213697200000013,1464310000000,147740000000,102.0047836,102.0047836,74.832,128613117,3.256,23.634501,-102.552784
Dietmar Hopp & family,611,4500,82,M,Germany,NA,Walldorf,Technology,TRUE,NA,Software,D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Jiang Bin,611,4500,56,M,China,NA,Weifang,Technology,TRUE,NA,Acoustic components,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Joseph Liemandt,611,4500,54,M,United States,Texas,Austin,Technology,TRUE,NA,Software,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Theo Mueller,611,4500,83,M,Switzerland,NA,Zurich,Food & Beverage,FALSE,NA,Dairy,D,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
N.R. Narayana Murthy,611,4500,76,M,India,NA,Bangalore,Technology,TRUE,NA,Software services,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Odd Reitan & family,611,4500,71,M,Norway,NA,Trondheim,Fashion & Retail,FALSE,NA,"Retail, real estate",D,133.3273007,7.266310699999991,593727000000,90359000000,98.96675873,98.96675873,82.56097561,5457127,3.231,60.472024,8.468946
Marc Rowan,611,4500,60,M,United States,New York,New York,Finance & Investments,TRUE,NA,Private equity,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Hussain Sajwani,611,4500,70,M,United Arab Emirates,NA,Dubai,Real Estate,TRUE,NA,Real estate,U,118.2894452,5.944428799999997,502732000000,87553000000,NA,NA,79.196,10074977,2.872,23.424076,53.847818
David Velez & family,611,4500,41,M,Brazil,NA,Sao Paulo,Finance & Investments,TRUE,NA,Fintech,D,204.4821206,17.36469550000001,1951920000000,281270000000,103.9703217,103.9703217,73.425,210306415,9.231,-14.235004,-51.92528
Xu Jinfu,611,4500,59,M,China,NA,Guangzhou,Manufacturing,TRUE,NA,Chemicals,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Samuel Yin,611,4500,72,M,Taiwan,NA,Taipei,Diversified,FALSE,NA,Retail,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.69781,120.960515
You Xiaoping & family,611,4500,65,M,China,NA,Wenzhou,Manufacturing,TRUE,NA,"Chemicals, spandex",D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Stéphane Bancel,624,4400,50,M,United States,Massachusetts,Boston,Healthcare,TRUE,NA,"Biotech, vaccines",D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Margot Birmingham Perot,624,4400,89,F,United States,Texas,Dallas,Technology,FALSE,NA,"Computer services, real estate",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Neal Blue & family,624,4400,88,M,United States,California,San Diego,Manufacturing,TRUE,NA,Defense,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Jim Davis,624,4400,63,M,United States,Maryland,Cockeysville,Service,TRUE,NA,Staffing & recruiting,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Rafael Del Pino,624,4400,64,M,Spain,NA,Madrid,Construction & Engineering,FALSE,NA,Construction,U,123.5917283,9.567306200000004,1446500000000,-14740000000,102.4459915,102.4459915,83.08292683,47759127,12.917,40.463667,-3.74922
Peter Grogg,624,4400,81,M,Switzerland,NA,Liestal,Healthcare,TRUE,NA,Biochemicals,D,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Christian Haub,624,4400,58,M,Germany,NA,Munich,Fashion & Retail,FALSE,NA,Retail,E,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Mangal Prabhat Lodha,624,4400,67,M,India,NA,Mumbai,Real Estate,TRUE,NA,Real estate,D,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Jeffrey Lurie & family,624,4400,71,M,United States,Pennsylvania,Wynnewood,Sports,FALSE,NA,Philadelphia Eagles,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Joe Mansueto,624,4400,66,M,United States,Illinois,Chicago,Finance & Investments,TRUE,"Entrepreneur, Investor",Investment research,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Qian Dongqi & family,624,4400,65,M,China,NA,Suzhou,Manufacturing,TRUE,NA,Home-cleaning robots,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Mikhail Shelkov,624,4400,54,M,Russia,NA,Moscow,Metals & Mining,TRUE,NA,Titanium,U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Patrick Drahi,636,4300,59,M,Switzerland,NA,Zermatt,Telecom,TRUE,NA,Telecom,D,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Behdad Eghbali,636,4300,46,M,United States,California,Los Angeles,Finance & Investments,TRUE,NA,Private equity,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Juan Carlos Escotet,636,4300,63,M,Spain,NA,A Coruña,Finance & Investments,TRUE,NA,Banking,U,123.5917283,9.567306200000004,1446500000000,-14740000000,102.4459915,102.4459915,83.08292683,47759127,12.917,40.463667,-3.74922
Jose E. Feliciano,636,4300,49,M,United States,California,Los Angeles,Finance & Investments,TRUE,NA,Private equity,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Hu Kaijun,636,4300,61,M,China,NA,Beijing,Healthcare,TRUE,NA,Pharmaceuticals,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Johnelle Hunt,636,4300,91,F,United States,Arkansas,Fayetteville,Logistics,TRUE,NA,Trucking,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Marian Ilitch,636,4300,90,F,United States,Michigan,Bingham Farms,Food & Beverage,TRUE,NA,Little Caesars Pizza,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Daryl Katz,636,4300,61,M,Canada,NA,Edmonton,Diversified,TRUE,Founder and Chairman,Pharmacies,D,129.8583286,8.271322299999994,2161480000000,154010000000,96.01157379,96.01157379,81.29560976,38939056,5.279,56.130366,-106.346771
Andrei Kozitsyn,636,4300,62,M,Russia,NA,Verkhniaya Pyshma,Metals & Mining,TRUE,NA,Metals,U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Timur Kulibaev,636,4300,56,M,Kazakhstan,NA,Almaty,Finance & Investments,TRUE,NA,Banking,U,251.0664098,32.80067819999999,225496000000,28384000000,100.9112638,100.9112638,74.44,20034609,4.86,48.019573,66.923684
Dinara Kulibaeva,636,4300,55,F,Kazakhstan,NA,Almaty,Finance & Investments,FALSE,NA,Banking,U,251.0664098,32.80067819999999,225496000000,28384000000,100.9112638,100.9112638,74.44,20034609,4.86,48.019573,66.923684
Ian Livingstone,636,4300,60,M,NA,NA,NA,Real Estate,TRUE,NA,Real estate,Split Family Fortune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richard Livingstone,636,4300,58,M,NA,NA,NA,Real Estate,TRUE,NA,Real estate,Split Family Fortune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gwendolyn Sontheim Meyer,636,4300,61,F,United States,California,Rancho Santa Fe,Food & Beverage,FALSE,NA,Cargill,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Jay Paul,636,4300,75,M,United States,California,San Francisco,Real Estate,TRUE,NA,Real estate,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Pham Nhat Vuong,636,4300,54,M,Vietnam,NA,Hanoi,Diversified,TRUE,NA,Diversified,D,177.3058411,5.425418400000012,410324000000,43849000000,123.1337238,123.1337238,74.58,99680655,1.523,14.058324,108.277199
Jon Stryker,636,4300,64,M,United States,New York,New York,Healthcare,FALSE,NA,Medical equipment,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Daniel Tsai,636,4300,66,M,Taiwan,NA,Taipei,Finance & Investments,FALSE,NA,Finance,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.69781,120.960515
Richard Tsai,636,4300,65,M,Taiwan,NA,Taipei,Finance & Investments,FALSE,NA,Finance,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.69781,120.960515
Frank Wang,636,4300,42,M,China,NA,Shenzhen,Technology,TRUE,Founder and CEO,Drones,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Wang Junshi & family,636,4300,74,M,China,NA,Ningbo,Manufacturing,TRUE,NA,Solar inverters,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Wang Wenjing,636,4300,58,M,China,NA,Beijing,Technology,TRUE,NA,Business software,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Herbert Wertheim,636,4300,83,M,United States,Florida,Coral Gables,Finance & Investments,TRUE,NA,Investments,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Shari Arison,659,4200,65,F,Israel,NA,Tel Aviv,Service,FALSE,"Investor, Philanthropist",Carnival Cruises,D,113.9397968,4.795366099999995,525000000000,35292000000,96.31256866,96.31256866,82.7,9557500,3.695,31.046051,34.851612
Pyotr Aven,659,4200,68,M,Latvia,NA,NA,Finance & Investments,TRUE,NA,"Oil, banking, telecom",D,141.8860818,20.936683200000004,38018905782,-166219951,99.41796875,99.41796875,74.5804878,1879383,6.815,56.879635,24.603189
Chan Laiwa & family,659,4200,82,F,China,NA,Beijing,Real Estate,TRUE,Philanthropist,Real estate,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Chen Hua,659,4200,57,M,China,NA,Shenzhen,Real Estate,TRUE,NA,Real estate,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Thomas Hagen,659,4200,87,M,United States,Pennsylvania,Erie,Finance & Investments,FALSE,NA,Insurance,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
"Rupert Johnson, Jr.",659,4200,82,M,United States,California,Burlingame,Finance & Investments,FALSE,Vice Chairman and Director,Franklin Templeton,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Dewi Kam,659,4200,72,F,Indonesia,NA,Jakarta,Energy,TRUE,NA,Coal,N,163.0717524,6.5871621999999945,1319080000000,132570000000,100.6449929,100.6449929,68.25,278830529,3.462,-0.789275,113.921327
Min Kao & family,659,4200,74,M,United States,Kansas,Leawood,Technology,TRUE,NA,Navigation equipment,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Marc Ladreit de Lacharriere,659,4200,82,M,France,NA,Paris,Finance & Investments,TRUE,NA,Finance,U,118.2582836,5.869362499999994,2796300000000,-170130000000,102.7205811,102.7205811,82.22926829,68065015,7.308,46.227638,2.213749
Eric Lefkofsky,659,4200,53,M,United States,Illinois,Glencoe,Technology,TRUE,Chairman,"Groupon, investments",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Lin Bin,659,4200,55,M,China,NA,Shenzhen,Technology,TRUE,NA,Smartphones,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Lin Li,659,4200,59,M,China,NA,Shenzhen,Finance & Investments,TRUE,NA,Investments,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Michael Moritz,659,4200,68,M,United States,California,San Francisco,Technology,TRUE,Investor,Venture capital,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Jean (Gigi) Pritzker,659,4200,60,F,United States,California,Los Angeles,Service,FALSE,NA,"Hotels, investments",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
E. Joe Shoen,659,4200,73,M,United States,Arizona,Phoenix,Automotive,FALSE,NA,U-Haul,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Jeff Skoll,659,4200,58,M,United States,California,Los Angeles,Technology,TRUE,NA,EBay,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Lynsi Snyder,659,4200,40,F,United States,California,Glendora,Food & Beverage,FALSE,NA,In-N-Out Burger,E,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Djoko Susanto,659,4200,73,M,Indonesia,NA,Jakarta,Fashion & Retail,TRUE,NA,Supermarkets,U,163.0717524,6.5871621999999945,1319080000000,132570000000,100.6449929,100.6449929,68.25,278830529,3.462,-0.789275,113.921327
Tahir & family,659,4200,71,M,Indonesia,NA,Jakarta,Diversified,TRUE,NA,Diversified,U,163.0717524,6.5871621999999945,1319080000000,132570000000,100.6449929,100.6449929,68.25,278830529,3.462,-0.789275,113.921327
Peter Thiel,659,4200,55,M,United States,California,Los Angeles,Finance & Investments,TRUE,Investor,"Facebook, investments",D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Andrej Babis,679,4100,68,M,Czech Republic,NA,Prague,Food & Beverage,TRUE,NA,Agriculture,D,143.6122559,18.84070960000001,301831000000,10858000000,100.9753494,100.9753494,79.02926829,10672118,2.224,49.817492,15.472962
Danielle Bellon & family,679,4100,83,F,France,NA,Paris,Service,FALSE,NA,Food services,U,118.2582836,5.869362499999994,2796300000000,-170130000000,102.7205811,102.7205811,82.22926829,68065015,7.308,46.227638,2.213749
Hubert Burda,679,4100,83,M,Germany,NA,Munich,Media & Entertainment,FALSE,NA,Publishing,U,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
Nick Caporella,679,4100,87,M,United States,Florida,Plantation,Food & Beverage,TRUE,NA,Beverages,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
John Catsimatidis,679,4100,74,M,United States,New York,New York,Energy,TRUE,NA,"Oil, real estate",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Scott Cook,679,4100,70,M,United States,California,Woodside,Technology,TRUE,NA,Software,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Luca Garavoglia,679,4100,54,M,Italy,NA,Milan,Food & Beverage,FALSE,NA,Spirits,U,121.7710848,9.229834299999993,2103000000000,-76210000000,101.564537,101.564537,82.9,59013667,8.069,41.87194,12.56738
Antti Herlin,679,4100,66,M,Finland,NA,Kirkkonummi,Manufacturing,FALSE,NA,"Elevators, escalators",D,123.3317901,8.201327400000011,280242000000,-13981000000,98.61901855,98.61901855,81.18780488,5556106,6.719,61.92411,25.748151
Hong Jie,679,4100,55,M,China,NA,Putian,Manufacturing,TRUE,NA,Paint,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
"Jeremy Jacobs, Sr. & family",679,4100,83,M,United States,New York,East Aurora,Service,FALSE,NA,Food service,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Igor Kesaev,679,4100,56,M,Russia,NA,Moscow,Fashion & Retail,TRUE,NA,"Tobacco distribution, retail",U,NA,NA,2266030000000,422640000000,101.1360703,101.1360703,72.54560976,144236933,3.867,61.52401,105.318756
Mary Alice Dorrance Malone,679,4100,73,F,United States,Pennsylvania,Coatesville,Food & Beverage,FALSE,NA,Campbell Soup,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Joao Moreira Salles,679,4100,61,M,Brazil,NA,Rio de Janeiro,Diversified,FALSE,NA,"Banking, minerals",U,204.4821206,17.36469550000001,1951920000000,281270000000,103.9703217,103.9703217,73.425,210306415,9.231,-14.235004,-51.92528
Walther Moreira Salles Junior,679,4100,66,M,Brazil,NA,Rio de Janeiro,Finance & Investments,FALSE,NA,"Banking, minerals",U,204.4821206,17.36469550000001,1951920000000,281270000000,103.9703217,103.9703217,73.425,210306415,9.231,-14.235004,-51.92528
Arturo Moreno,679,4100,76,M,United States,Arizona,Phoenix,Sports,TRUE,NA,"Billboards, Los Angeles Angels",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Peter Spuhler,679,4100,63,M,Switzerland,NA,Weiningen,Manufacturing,TRUE,NA,Train cars,D,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Donald Sterling,679,4100,88,M,United States,California,Beverly Hills,Real Estate,TRUE,NA,Real estate,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Kerry Stokes,679,4100,82,M,Australia,NA,Perth,Diversified,TRUE,NA,"Construction equipment, media",D,132.4661811,8.194588999999993,1690860000000,134120000000,99.13298798,99.13298798,83.2,26014399,3.728,-25.274398,133.775136
Ken Xie,679,4100,60,M,United States,California,Los Altos Hills,Technology,TRUE,NA,Cybersecurity,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Liangzhi Xie & family,679,4100,57,M,China,NA,Beijing,Healthcare,TRUE,NA,Biotech,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Sid Bass,699,4000,80,M,United States,Texas,Fort Worth,Energy,FALSE,NA,"Oil, investments",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Ben Chestnut,699,4000,48,M,United States,Georgia,Atlanta,Technology,TRUE,NA,Email marketing,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Elisabeth DeLuca & family,699,4000,75,F,United States,NA,NA,Food & Beverage,FALSE,NA,Subway,N,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Guangchang Guo,699,4000,56,M,China,NA,Shanghai,Diversified,TRUE,NA,Conglomerate,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Vinod Rai Gupta,699,4000,77,F,India,NA,Delhi,Manufacturing,FALSE,NA,Electrical equipment,U,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
John Henry,699,4000,73,M,United States,Florida,Boca Raton,Sports,TRUE,NA,Sports,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Travis Kalanick,699,4000,46,M,United States,California,Los Angeles,Technology,TRUE,Cofounder,Uber,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Koon Poh Keong,699,4000,61,M,Malaysia,NA,Petaling Jaya,Manufacturing,TRUE,NA,Aluminum,D,127.2121313,4.157640399999991,407606000000,33821000000,97.75549313,97.75549313,76.26,34695493,3.93,4.210484,101.975766
Dan Kurzius,699,4000,51,M,United States,Georgia,Atlanta,Technology,TRUE,NA,Email marketing,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Paul Lee,699,4000,65,M,China,NA,Yuxi,Manufacturing,TRUE,NA,Battery separators,D,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Tobi Lutke,699,4000,42,M,Canada,NA,Ottawa,Technology,TRUE,NA,E-commerce,D,129.8583286,8.271322299999994,2161480000000,154010000000,96.01157379,96.01157379,81.29560976,38939056,5.279,56.130366,-106.346771
Gail Miller,699,4000,79,F,United States,Utah,Salt Lake City,Automotive,TRUE,NA,Car dealerships,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Rajan Mittal,699,4000,63,M,India,NA,Delhi,Telecom,FALSE,NA,Telecom,Split Family Fortune,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Rakesh Mittal,699,4000,67,M,India,NA,Delhi,Telecom,FALSE,NA,Telecom,Split Family Fortune,205.2662411,12.88751640000001,3353470000000,186200000000,111.0844556,111.0844556,67.744,1425423212,4.822,20.593684,78.96288
Isaac Perlmutter,699,4000,80,M,United States,Florida,Palm Beach,Media & Entertainment,TRUE,Chairman,Marvel comics,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
"Bernard Saul, II.",699,4000,90,M,United States,Maryland,Chevy Chase,Finance & Investments,FALSE,Chairman and CEO,"Banking, real estate",U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Shaul Shani,699,4000,68,M,Italy,NA,Milan,Telecom,TRUE,NA,Telecom,D,121.7710848,9.229834299999993,2103000000000,-76210000000,101.564537,101.564537,82.9,59013667,8.069,41.87194,12.56738
Steven Spielberg,699,4000,76,M,United States,California,Pacific Palisades,Media & Entertainment,TRUE,NA,Movies,U,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
Jerzy Starak,699,4000,75,M,Poland,NA,Konstancin,Healthcare,TRUE,NA,Pharmaceuticals,E,141.8072466,17.881766200000015,695607000000,6437000000,100.5942688,100.5942688,77.30487805,36821749,2.811,51.919438,19.145136
Torbjorn Tornqvist,699,4000,69,M,Switzerland,NA,Geneva,Energy,TRUE,NA,Oil trading,U,102.2172818,2.817997550000001,818427000000,5018000000,101.3630676,101.3630676,83.45365854,8777088,4.122,46.818188,8.227512
Rufino Vigil Gonzalez,699,4000,74,M,Mexico,NA,Mexico City,Metals & Mining,TRUE,NA,Steel,U,166.8903693,12.213697200000013,1464310000000,147740000000,102.0047836,102.0047836,74.832,128613117,3.256,23.634501,-102.552784
Zhang Daocai,699,4000,73,M,China,NA,Shaoxing,Diversified,TRUE,NA,Valves,U,131.9193567,2.5531401000000074,17881800000000,61300000000,100.17173,100.17173,78.587,1412175000,4.98,35.86166,104.195397
Juergen Blickle,721,3900,76,M,Germany,NA,Bruchsal,Manufacturing,FALSE,NA,Auto parts,D,124.4897444,8.005468500000006,4163600000000,-184700000000,100.218132,100.218132,80.70560976,83797985,3.12,51.165691,10.451526
"Austen Cargill, II.",721,3900,72,M,United States,Montana,Livingston,Food & Beverage,FALSE,NA,Cargill,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
"James Cargill, II.",721,3900,73,M,United States,Wisconsin,Birchwood,Food & Beverage,FALSE,NA,Cargill,D,134.2112062,9.944792399999997,26006900000000,2325700000000,96.97173309,96.97173309,77.43414634,333271411,3.65,37.09024,-95.712891
